Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,User Comments,CM Comments,Page URL,Download File,Unnamed: 18,Missing,Other,Latitude,Longitude,Unnamed: 23,Wise,Discussion
39132,News Article,The Decatur Daily,Decatur,Alabama,25-Nov-42,1,Nazis Accused of Backing Plan To Exterminate Jews In Europe,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Amy Priborsky,,,https://newspapers.ushmm.org/article/39132,,,[7],"[1,0]",34.6059253,-86.9833417,,0,0
37650,News Article,Spokane Daily Chronicle,Spokane,Washington,25-Nov-42,11,Jews To Hear Of German Drive,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/37650,,,"[7,8,9]","[1,1]",47.6587802,-117.4260465,,0,1
35855,News Article,Fort Worth Star-Telegram,Fort+Worth,Texas,25-Nov-42,5,US Jews Study Hitler Plan to Wipe Out Race,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Judy Johnstone,This article was found in the Evening Home Edition of the Fort Worth Star-Telegram,,https://newspapers.ushmm.org/article/35855,,,[0],"[1,1]",32.7554883,-97.3307658,,0,1
33692,News Article,The Marion Star,Marion,Ohio,25-Nov-42,7,Nazi Plan to Kill All Jews Reported,"More than 2,000,000 Already Exterminated in Germany",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,crystal sopko,,,https://newspapers.ushmm.org/article/33692,,,"[6,7,8,9]","[0,0]",40.5886699,-83.1285242,,0,0
32954,News Article,Mason City Globe-Gazette,Mason+City,Iowa,25-Nov-42,1,Nazi Plan to Exterminate Jews Probed,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Elizabeth Hedlund,,Thanks Elizabeth -Jennifer,https://newspapers.ushmm.org/article/32954,,,"[6,7,8,9]","[0,0]",43.1535728,-93.2010367,,0,0
32942,News Article,The Daily Times (Iowa),Davenport,Iowa,25-Nov-42,1,"Reveal Hitler Plans to Exterminate All Jews in Occupied Areas by End of 1942; 2,000,000 Already Slaughtered""",,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Elizabeth Hedlund,,,https://newspapers.ushmm.org/article/32942,,,"[8,9]","[1,1]",41.5236437,-90.5776367,,0,0
30109,News Article,Marshalltown Times-Republican,Marshalltown,Iowa,25-Nov-42,1,"Hitler Plans Slaughter Of All Jews in Europe, Claim",,AP,Nazi Plan to Kill All Jews Confirmed,The Community History Archive of Hamilton County Iowa (hamiltoncounty.advantage-preservation.com),Published,William Quick,,,https://newspapers.ushmm.org/article/30109,,,"[7,8,9]","[0,0]",42.0494674,-92.9080375,,0,0
29146,News Article,The Knoxville News-Sentinel,Knoxville,Tennessee,25-Nov-42,10,"""Kill All Jews"" Plan Disclosed","Doctor Wise Says 2,000,000 To Die in Next Month.",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Jordan Nowell,,"Hi Jordan,

Great article find! You've found a great match for this event module. This article has been approved!

I've edited this submission a little to provide you with an example to help you with your future submissions.

Great work!

- Samantha",https://newspapers.ushmm.org/article/29146,,,"[7,8,9]","[0,0]",35.9606384,-83.9207392,,1,0
29139,News Article,Dixon Evening Telegraph,Dixon,Illinois,25-Nov-42,1,Details of Hitler's Plan to Kill the Jews in Europe Revealed,"Over 2,000,000 Already Slaughtered in Nazi-Occupied Nations",AP,Nazi Plan to Kill All Jews Confirmed,https://newscomwc.newspapers.com/,Published,Alyssa Zydorowicz,,"Hi Alyssa,

Great article find! This article has been approved.

I've edited this submission a little to provide you with an example to help you with your future submissions.

Great work!

- Samantha",https://newspapers.ushmm.org/article/29139,,,"[8,9]","[1,1]",41.8389213,-89.4795478,,0,0
29137,News Article,The Daily Times-News,Burlington,North+Carolina,25-Nov-42,1,Jews Facing Extermination In Nazi Area,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Jenna Klug,,"Hi Jenna,

Another great article find! This article has also been approved.

Thank you for this new addition to the database!

- Samantha",https://newspapers.ushmm.org/article/29137,,,"[8,9]","[1,1]",36.0807686,-79.4827759,,0,0
24814,News Article,The Capital Times/The Madison Capital Times,Madison,Wisconsin,25-Nov-42,1,Nazis Plan to Kill All Jews in Seized Areas---Dr. Wise,"2 Million Were Already Slaughtered by Extension Order, Claim",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Jeff Schultz,,,https://newspapers.ushmm.org/article/24814,,,"[8,9]","[1,1]",43.0730517,-89.4012302,,1,0
24742,News Article,The Decatur Daily Review,Decatur,Illinois,25-Nov-42,1,Hitler's Plan Reported to Kill All Jews,,AP,Nazi Plan to Kill All Jews Confirmed,https://newscomwc.newspapers.com/,Published,Madeline Bohan,,"Madeline, this is actually a front page (page 1) story. Newspapers.com often gets the page numbers wrong. I added the word ""All"" in the headline ""Hitler's Plan Reported o Kill All Jews."" The word ""All"" clearly makes a big difference in the meaning, so please be careful when entering in the headline information. I added ""AP"" in the author/byline field. It stands for the Associated Press wire service organization. We actually do have a copy of this article. In the future, if you are able to find us articles we haven't seen before, that would be fantastic. Here is a nifty guide for how to find new material: https://newspapers.ushmm.org/blog/2017/09/14/how-do-i-upload-articles-not-yet-in-the-database/

Thank you for your work! -Eric",https://newspapers.ushmm.org/article/24742,,,"[8,9]","[1,1]",39.8403147,-88.9548001,,0,0
21915,News Article,The Vernon Daily Record,Vernon,Texas,25-Nov-42,2,Jews are Told of Hitler's Campaign To Exterminate Race,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ryan Liu,,,https://newspapers.ushmm.org/article/21915,,,"[4,5,6,7,8,9]","[1,1]",34.1545306,-99.2650804,,0,0
21911,News Article,The Evening Independent,Massillon,Ohio,25-Nov-42,2,"2 Million Jews Slain In Hitler Campaign, Claim",,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ryan Liu,,,https://newspapers.ushmm.org/article/21911,,,"[6,7,8,9]","[0,0]",40.7967244,-81.5215093,,0,0
21908,News Article,Denton Record-Chronicle,Denton,Texas,25-Nov-42,4,Many Jews Killed In Europe,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ryan Liu,,"Great work, Ryan! This article has been published to our database.",https://newspapers.ushmm.org/article/21908,,,"[3,4,5,6,7,8,9]","[1,1]",33.2148412,-97.1330683,,0,0
21550,News Article,The Logan Daily News,Logan,Ohio,25-Nov-42,1,Hitlers Plans Mass Murders of Jews,Details of Plot Revealed by Dr. Wise,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Lily Sweeting,,"Hi Lily,
Great work! I made a few small edits to your submission and it is now published to our database.
-Bethany",https://newspapers.ushmm.org/article/21550,https://newspapers.ushmm.org/manager/article/photo/30608/original,,"[6,7,8,9]","[1,1]",39.5400672,-82.4070986,,1,0
21520,News Article,The Ludington Daily News,Ludington,Michigan,25-Nov-42,1,Reveals Hitler Plan to Kill All Jews in Nazi-Held Europe,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Katelyn Lombardino,"This article describes Hitler's plan to kill all of the Jews in the parts of Europe that were occupied by the Nazis. This is the first time that the people are hearing about this plan, so that it why it is significant. Dr. Stephen S. Wise made the announcement and also found out that the Nazis have already killed over 2,000,000 Jews. This article also describes the Nazis' plan to speed up the process of killing all of the Jews.","Good summary on the article, Katelyn! -Eric",https://newspapers.ushmm.org/article/21520,https://newspapers.ushmm.org/manager/article/photo/30569/original,,"[6,7,8,9]","[1,1]",43.9552825,-86.4525831,,0,0
21302,News Article,The Longview (Texas) Daily News,Longview,Texas,25-Nov-42,1,Rabbi Charges Jewish Extermination By Axis,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Luke Teitell,,,https://newspapers.ushmm.org/article/21302,https://newspapers.ushmm.org/manager/article/photo/30568/original,,"[6,7,8,9]","[1,1]",32.5007037,-94.7404891,,1,0
20346,News Article,Santa Ana Register,Santa+Ana,California,25-Nov-42,1,Nazi Plan to Exterminate Jews In Occupied Europe Is Charged,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,,https://newspapers.ushmm.org/article/20346,https://newspapers.ushmm.org/manager/article/photo/30387/original,,"[4,6,7,8,9]","[1,1]",33.7454725,-117.867653,,0,0
20341,News Article,The Evening Republican/The Republic,Columbus,Indiana,25-Nov-42,1,Reports All Jews in Nazi Europe Will Be Killed,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,"Thanks for this submission. I find articles like these especially interesting. Readers of this newspaper knew exactly what was happening overseas, which proves why History Unfolded is a valuable project. Thanks Neha!
-Bethany",https://newspapers.ushmm.org/article/20341,https://www.newspapers.com/clip/78347293/,,"[4,5,6,7,8,9]","[0,0]",39.2014404,-85.9213796,,0,0
20335,News Article,Ironwood Daily Globe,Ironwood,Michigan,25-Nov-42,1,WISE EXPLAINS JEWISH POLICY,Offers Proof of Hitler's Race Extinction Order for 1942,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,,https://newspapers.ushmm.org/article/20335,https://www.newspapers.com/clip/77719879/the-jackson-sun/,,"[8,9]","[1,1]",46.4546698,-90.1710081,,1,1
20320,News Article,Beatrice Daily Sun,Beatrice,Nebraska,25-Nov-42,2,All Jews In Nazi Europe To Be Killed,Hitler Orders Death Of All Jews In Territory By First Of Next Year; 2 MILLION DEAD NOW,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,,https://newspapers.ushmm.org/article/20320,https://www.newspapers.com/clip/77691258/,,"[7,8,9]","[1,1]",40.2659269,-96.7466913,,0,0
20305,News Article,The News-Palladium/The Benton Harbor News Palladium,Benton+Harbor,Michigan,25-Nov-42,8,"Hitler Orders Mass Murder Of Jews; 2,000,000 Slain",,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,,https://newspapers.ushmm.org/article/20305,https://www.newspapers.com/clip/77568229/the-post-register/,,[0],"[0,0]",42.1167065,-86.4541894,,0,0
20302,News Article,The Evening Huronite/The Daily Plainsman,Huron,South+Dakota,25-Nov-42,1,Says Hitler To Exterminate All Jews In Europe,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,,https://newspapers.ushmm.org/article/20302,https://www.newspapers.com/clip/76367269/herald-press-nazi-plan/,,[0],"[1,1]",44.3633173,-98.2142572,,0,0
20280,News Article,The Rhinelander Daily News,"Rhinelander,+Wisconsin",Wisconsin,25-Nov-42,1,Slaughter of Jews In Europe Verified,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Luke Teitell,,,https://newspapers.ushmm.org/article/20280,https://www.newspapers.com/clip/76116915/the-knoxville-news-sentinel/,,"[6,7,8,9]","[1,1]",45.6366228,-89.4120753,,0,0
19602,News Article,Panama City News-Herald,Panama+City,Florida,25-Nov-42,6,LEADERS PROBE GERMAN DRIVE TO KILL JEWS,Details Of Gestapo Campaign To Be Laid Before World Congress,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,,https://newspapers.ushmm.org/article/19602,https://newspapers.ushmm.org/manager/article/photo/27856/original,,"[7,8,9]","[1,1]",30.1588129,-85.6602058,,0,1
19599,News Article,The Evening Telegram/Rocky Mount Telegram,Rocky+Mount,North+Carolina,25-Nov-42,1,Leading Jews To Discuss Nazi Plan To Purge Europe,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,,https://newspapers.ushmm.org/article/19599,https://newspapers.ushmm.org/manager/article/photo/27840/original,,[9],"[1,1]",35.9382103,-77.7905339,,0,1
19396,News Article,The Monitor/ Valley Evening Monitor/ Star-Monitor-Herald,McAllen,Texas,25-Nov-42,1,Red Offensive Sweeps into New Areas,Two Million Jews Slain by Germans,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ryan Liu,,"Hi Ryan,
Thanks for researching for History Unfolded. Your article has been published in our database.
-Bethany",https://newspapers.ushmm.org/article/19396,https://www.newspapers.com/clip/61772909/,,"[6,7,8,9]","[1,1]",26.2034071,-98.2300124,,0,0
19391,News Article,The Pampa Daily News/The Pampa News,Pampa,Texas,25-Nov-42,1,Hitler Order All Jews In Europe Be Dead In '42,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ryan Liu,,"Hi Ryan,
Thanks for researching for History Unfolded. This article has been published in our database.
-Bethany",https://newspapers.ushmm.org/article/19391,https://www.newspapers.com/clip/61743705/,,"[6,7,8,9]","[1,1]",35.5361559,-100.9598709,,0,0
19390,News Article,The Fresno Bee The Republican,Fresno,California,25-Nov-42,7,Wise Describes Plan to Liquidate European Jews,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ryan Liu,,"Hi Ryan,
Thanks for researching for History Unfolded. Your submission has been published in our database. 
-Bethany",https://newspapers.ushmm.org/article/19390,https://www.newspapers.com/clip/61628848/,,[0],"[1,1]",36.7377981,-119.7871247,,1,0
19307,News Article,Fitchburg Sentinel,Fitchburg,Massachusetts,25-Nov-42,1,Calls Jews To Discuss Nazi Edict,Dr. Wise Says Massacre To Be Subject Of Parley To Be Held At New York,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,"We did not have this article in the system before, Neha. Good work! -Eric",https://newspapers.ushmm.org/article/19307,https://www.newspapers.com/clip/61266091/,,"[7,8,9]","[1,1]",42.5834228,-71.8022955,,1,1
19141,News Article,The Muscatine Journal and News-Tribune,Muscatine,Iowa,25-Nov-42,3,Dr. Wise to Bare Story of German Drive Upon Jews  ,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Luke Teitell,Responds to race-extinction order from Adolf Hitler,"Luke, this is a new article to the system. Great work! -Eric",https://newspapers.ushmm.org/article/19141,https://www.newspapers.com/clip/61062483/,,"[7,8,9]","[1,1]",41.424473,-91.0432051,,1,0
18830,News Article,(The Wilmington) Evening Journal-Every Evening/(The Wilmington) Journal-Every Evening,Wilmington,Delaware,25-Nov-42,5,German Doctors Said to Kill Jews at Rate of 100 an Hour,"2,000,000 Slain So Far in Response to Hitler's Order To Exterminate Race by End Of Year, Apparently Authentic Report Reveals",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,,https://newspapers.ushmm.org/article/18830,https://www.newspapers.com/clip/54982233/himmler-orders-extermination-of-half/,,[0],"[1,1]",39.744655,-75.5483909,,0,0
18369,News Article,Argus Leader/The Daily Argus-Leader,Sioux+Falls,South+Dakota,25-Nov-42,4,Anti-Semitic Drive Studied,Jewish Organizations Learn Details of Germany's Campaign,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Carlos Gimeno,"https://www.newspapers.com/image/229821931/

Accessed July/9/2018",,https://newspapers.ushmm.org/article/18369,https://newspapers.ushmm.org/manager/article/photo/26724/original,,"[6,7,8,9]","[0,0]",43.5460223,-96.731265,,0,1
18016,News Article,The South Bend Tribune,South+Bend,Indiana,25-Nov-42,2,Nazi Drive to Exterminate All Jews in '42 Revealed,,AP,Nazi Plan to Kill All Jews Confirmed,St. Joseph County Public Library,Published,Local History,,,https://newspapers.ushmm.org/article/18016,https://www.newspapers.com/clip/49749874/,,"[7,8,9]","[0,0]",41.6763545,-86.2519898,,0,0
17381,News Article,Ogdensburg Journal,Ogdensburg,New+York,25-Nov-42,1,Fiendish Device Used in Nazi Drive To Kill All European Jews By January,,AP,Nazi Plan to Kill All Jews Confirmed,New York State Historic Newspapers (http://nyshistoricnewspapers.org/),Published,Peyton Castleberry,"Link to article: https://nyshistoricnewspapers.org/lccn/sn84031165/1942-11-25/ed-1/seq-1/#date1=11%2F25%2F1942&index=0&date2=11%2F25%2F1942&searchType=advanced&SearchType=prox5&sequence=0&words=exterminate+Jews+Nazi&proxdistance=5&to_year=1942&rows=20&ortext=&from_year=19%20Waiting%20for%20Approval

","The headline ""Soviet Advance Presses Nazis into 30 mile Bottleneck Allies Gain in Fierce New Guinea, Tunisia Fighting"" is unrelated to the story about the Final Solution you found with the headline ""Fiendish Device Used in Nazi Drive to Kill All European Jews By January"". Here is a helpful guide for understanding how to read newspapers from the 1930's and 1940's: https://newspapers.ushmm.org/about/scanning-newspapers    Thank you for your research, Peyton! -Eric",https://newspapers.ushmm.org/article/17381,https://www.newspapers.com/clip/47926611/,,"[6,7,8,9]","[0,0]",44.6942291,-75.4863364,,0,0
17359,News Article,Alton Evening Telegraph,Alton,Illinois,25-Nov-42,12,German Plot to Exterminate All Jews Is Charged,Dr. Stephen Wise Says Nazis Have Jan. 1 Deadline,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Mallory Mick,,,https://newspapers.ushmm.org/article/17359,https://www.newspapers.com/clip/47924979/,,"[8,9]","[1,1]",38.8906038,-90.1842764,,1,0
16116,News Article,The Hutchinson News,Hutchinson,Kansas,25-Nov-42,1,Slaughter Of Jews Ahead At Fast Past,"Race Extermination Hitler 1942 Goal, Rabbi Wise Says",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Tabor Hurt,,"Tabor, this is a good find, but more appropriately linked to the event ""Nazi Plan To Kill All Jews Confirmed"". I have changed it accordingly. Thanks, Edie",https://newspapers.ushmm.org/article/16116,https://www.newspapers.com/clip/37858148/,,"[8,9]","[1,1]",38.0608445,-97.9297743,,1,0
15162,News Article,The Evening State Journal/The Lincoln State Journal/Lincoln Evening Journal,Lincoln,Nebraska,25-Nov-42,1,Race Extinction: Death of All Jews Ordered... In Occupied Europe,Details Of Hitler Plan To Be Laid Before N.Y. Committee,AP,Nazi Plan to Kill All Jews Confirmed,University of Nebraska at Omaha: Dr. C.C. and Mabel L. Criss Library (https://www.unomaha.edu/criss-library/index.php),Published,Kaitlin Sundberg,Link to article:c,,https://newspapers.ushmm.org/article/15162,https://newspapers.ushmm.org/manager/article/photo/23202/original,,"[7,8,9]","[1,1]",40.813616,-96.7025955,,0,0
