Location,Jewish Population,Total Population,Percentage
"South Orange, NJ",1300,"13,742",0.09460049483
"Spokane, Wash",1208,"122,001",0.009901558184
"Springfield, Ill",1120,"75,503",0.01483384766
"Springfield, Mass",12270,"149,554",0.08204394399
"Spring Valley, NY",1330,"4,308",0.308727948
"Stamford, CT",4905,"47,938",0.1023196629
"Steubenville, Ohio",1000,"37,651",0.02655971953
"Stockton, Cal",1235,"54,714",0.02257191944
"Syracuse, NY",14500,"205,967",0.07039962712
"Tampa, Fla",1730,"108,391",0.01596073475
"Terre Haute, Ind",1100,62693,0.01754581851
"Toledo, Ohio",10500,282349,0.03718801908
"Trenton, NJ",9650,"124,697",0.07738758751
"Troy, NY",3120,"70,304",0.04437869822
"Tulsa, Okla",2850,"142,157",0.02004825651
"Union, NJ",4800,"56,173",0.08545030531
"Uniontown, Pa",1220,"21,819",0.05591456987
"University City, Mo",2800,"33,023",0.08478938921
"Utica, N.Y",3650,"100,518",0.03631190434
"Waco, TX",1150,"55,982",0.02054231717
"Washington, DC",18350,"663,091",0.02767342642
"Waterbury, CT",5800,"99,314",0.05840062831
"Waukegan, Ill",1100,"34,241",0.03212522999
"West Hartford Town, CT",1150,"33,776",0.03404784462
"West New York, NJ",2670,39439,0.06769948528
"Wheeling, W. Va",1150,61099,0.01882191198
"White Plains, NY",2600,"40,327",0.06447293377
"Wichita, KA",1315,"114,966",0.01143816433
"Wilkes-Barre, Pa",6200,"86,236",0.071895728
"Wilmington, DE",6200,"112,504",0.05510915167
"Winthrop, Mass",2600,"16,768",0.1550572519
"Woodbine, NJ",1600,"2,111",0.7579346281
"Woonsocket, R.I",1080,"49,303",0.02190536073
"Worcester, Mass",13350,"193,691",0.06892421434
"Yonkers, NY",7200,"142,598",0.05049159175
"Youngstown, Ohio",8650,"167,720",0.05157405199
